event_name,medal,medalist_name,medalist_wikidata_id,country_medal,delegation_name,sex_or_gender
biathlon at the 2026 Winter Olympics – men's relay,silver,Martin Uldal,Q116255527,Norway,Norway at the 2026 Winter Olympics,male
biathlon at the 2026 Winter Olympics – women's sprint,gold,Maren Kirkeeide,Q115471517,Norway,Norway at the 2026 Winter Olympics,female
biathlon at the 2026 Winter Olympics – women's pursuit,silver,Maren Kirkeeide,Q115471517,Norway,Norway at the 2026 Winter Olympics,female
biathlon at the 2026 Winter Olympics – women's relay,bronze,Maren Kirkeeide,Q115471517,Norway,Norway at the 2026 Winter Olympics,female
bobsleigh at the 2026 Winter Olympics – two-man,bronze,Adam Ammour,Q123907933,Germany,Germany at the 2026 Winter Olympics,male
bobsleigh at the 2026 Winter Olympics – two-man,bronze,Alexander Schaller,Q137766694,Germany,Germany at the 2026 Winter Olympics,male
cross-country skiing at the 2026 Winter Olympics – men's sprint,bronze,Oskar Opstad Vike,Q131322045,Norway,Norway at the 2026 Winter Olympics,male
cross-country skiing at the 2026 Winter Olympics – women's 4 × 7.5 kilometre relay,gold,Kristin Austgulen Fosnæs,Q105336684,Norway,Norway at the 2026 Winter Olympics,female
cross-country skiing at the 2026 Winter Olympics – women's 4 × 7.5 kilometre relay,gold,Karoline Simpson-Larsen,Q77677551,Norway,Norway at the 2026 Winter Olympics,female
cross-country skiing at the 2026 Winter Olympics – women's 4 × 7.5 kilometre relay,bronze,Vilma Ryytty,Q123614045,Finland,Finland at the 2026 Winter Olympics,female
freestyle skiing at the 2026 Winter Olympics – men's aerials,bronze,Li Tianma,Q116694766,People's Republic of China,China at the 2026 Winter Olympics,male
freestyle skiing at the 2026 Winter Olympics – men's slopestyle,bronze,Luca Harrington,Q81903468,New Zealand,New Zealand at the 2026 Winter Olympics,male
freestyle skiing at the 2026 Winter Olympics – mixed team aerials,silver,Lina Kozomara,Q133575396,Switzerland,Switzerland at the 2026 Winter Olympics,female
freestyle skiing at the 2026 Winter Olympics – mixed team aerials,bronze,Li Tianma,Q116694766,People's Republic of China,China at the 2026 Winter Olympics,male
ice hockey at the 2026 Winter Olympics – women's tournament,gold,Joy Dunne,Q125116553,United States,United States at the 2026 Winter Olympics,female
ice hockey at the 2026 Winter Olympics – women's tournament,gold,Laila Edwards,Q125253695,United States,United States at the 2026 Winter Olympics,female
ice hockey at the 2026 Winter Olympics – women's tournament,gold,Tessa Janecke,Q117422370,United States,United States at the 2026 Winter Olympics,female
ice hockey at the 2026 Winter Olympics – women's tournament,gold,Ava McNaughton,Q133056444,United States,United States at the 2026 Winter Olympics,female
ice hockey at the 2026 Winter Olympics – women's tournament,gold,Kirsten Simms,Q124936007,United States,United States at the 2026 Winter Olympics,female
ice hockey at the 2026 Winter Olympics – women's tournament,silver,Jennifer Gardiner,Q126496194,Canada,Canada at the 2026 Winter Olympics,female
